date,close
2021-05-10,410.98
2021-05-11,290.15
2021-05-12,292.91
2021-05-13,317.2
2021-05-14,268.89
2021-05-15,241.5
2021-05-16,200.77
2021-05-17,174.27
2021-05-18,128.84
2021-05-19,180.06
2021-05-20,140.99
2021-05-21,138.88
2021-05-22,137.74
2021-05-23,144.4
2021-05-24,137.79
2021-05-25,136.34
2021-05-26,137.28
2021-05-27,119.61
2021-05-28,107.93
2021-05-29,109.27
2021-05-30,112.06
2021-05-31,108.61
2021-06-01,111.43
2021-06-02,111.17
2021-06-03,114.32
2021-06-04,108.55
2021-06-05,106.55
2021-06-06,102.62
2021-06-07,80.46
2021-06-08,83.93
2021-06-09,70.98
2021-06-10,63.87
2021-06-11,56.74
2021-06-12,61.75
2021-06-13,66.12
2021-06-14,60.87
2021-06-15,56.46
2021-06-16,54.16
2021-06-17,49.54
2021-06-18,52.92
2021-06-19,46.86
2021-06-20,39.9
2021-06-21,36.48
2021-06-22,36.48
2021-06-23,34.01
2021-06-24,32.29
2021-06-25,29.62
2021-06-26,37.56
2021-06-27,44.12
2021-06-28,51.62
2021-06-29,44.24
2021-06-30,46.74
2021-07-01,43.34
2021-07-02,46.55
2021-07-03,48.29
2021-07-04,45.2
2021-07-05,45.78
2021-07-06,46.05
2021-07-07,41.22
2021-07-08,41.68
2021-07-09,39.28
2021-07-10,40.43
2021-07-11,38.46
2021-07-12,36.63
2021-07-13,38.3
2021-07-14,36.12
2021-07-15,34.9
2021-07-16,32.39
2021-07-17,32.21
2021-07-18,30.18
2021-07-19,29.27
2021-07-20,34.15
2021-07-21,35.3
2021-07-22,33.25
2021-07-23,38.76
2021-07-24,41.74
2021-07-25,43.8
2021-07-26,39.6
2021-07-27,41.54
2021-07-28,39.85
2021-07-29,40.26
2021-07-30,42.0
2021-07-31,42.71
2021-08-01,40.94
2021-08-02,38.28
2021-08-03,40.36
2021-08-04,39.46
2021-08-05,48.76
2021-08-06,62.68
2021-08-07,55.89
2021-08-08,65.86
2021-08-09,71.3
2021-08-10,69.9
2021-08-11,62.03
2021-08-12,63.82
2021-08-13,64.7
2021-08-14,61.16
2021-08-15,63.43
2021-08-16,60.88
2021-08-17,59.28
2021-08-18,67.76
2021-08-19,67.93
2021-08-20,66.1
2021-08-21,63.14
2021-08-22,64.45
2021-08-23,60.53
2021-08-24,62.1
2021-08-25,57.97
2021-08-26,61.1
2021-08-27,66.5
2021-08-28,69.38
2021-08-29,67.64
2021-08-30,64.72
2021-08-31,64.1
2021-09-01,65.68
2021-09-02,67.02
2021-09-03,69.67
2021-09-04,79.29
2021-09-05,78.33
2021-09-06,62.57
2021-09-07,60.44
2021-09-08,62.84
2021-09-09,57.46
2021-09-10,60.45
2021-09-11,60.24
2021-09-12,54.0
2021-09-13,58.36
2021-09-14,59.06
2021-09-15,58.77
2021-09-16,56.29
2021-09-17,59.34
2021-09-18,57.42
2021-09-19,49.71
2021-09-20,48.69
2021-09-21,48.41
2021-09-22,49.9
2021-09-23,45.6
2021-09-24,45.52
2021-09-25,44.96
2021-09-26,44.22
2021-09-27,41.84
2021-09-28,44.53
2021-09-29,44.08
2021-09-30,49.16
2021-10-01,51.58
2021-10-02,49.61
2021-10-03,48.23
2021-10-04,53.21
2021-10-05,55.65
2021-10-06,53.0
2021-10-07,51.21
2021-10-08,50.41
2021-10-09,48.03
2021-10-10,45.46
2021-10-11,43.05
2021-10-12,41.69
2021-10-13,43.97
2021-10-14,43.06
2021-10-15,45.23
2021-10-16,44.06
2021-10-17,43.1
2021-10-18,43.29
2021-10-19,46.61
2021-10-20,44.96
2021-10-21,44.66
2021-10-22,45.76
2021-10-23,42.97
2021-10-24,45.12
2021-10-25,48.28
2021-10-26,41.85
2021-10-27,43.04
2021-10-28,44.77
2021-10-29,43.06
2021-10-30,44.68
2021-10-31,45.35
2021-11-01,47.56
2021-11-02,45.8
2021-11-03,45.24
2021-11-04,51.33
2021-11-05,47.94
2021-11-06,52.56
2021-11-07,55.24
2021-11-08,53.11
2021-11-09,53.65
2021-11-10,48.22
2021-11-11,45.46
2021-11-12,47.96
2021-11-13,47.91
2021-11-14,48.07
2021-11-15,43.26
2021-11-16,42.32
2021-11-17,40.53
2021-11-18,42.18
2021-11-19,41.5
2021-11-20,45.12
2021-11-21,42.91
2021-11-22,41.94
2021-11-23,40.77
2021-11-24,43.08
2021-11-25,40.22
2021-11-26,44.1
2021-11-27,40.75
2021-11-28,41.5
2021-11-29,41.3
2021-11-30,42.79
2021-12-01,40.13
2021-12-02,40.12
2021-12-03,31.36
2021-12-04,29.05
2021-12-05,29.23
2021-12-06,30.58
2021-12-07,31.53
2021-12-08,29.38
2021-12-09,28.16
2021-12-10,28.1
2021-12-11,28.41
2021-12-12,25.74
2021-12-13,24.87
2021-12-14,23.74
2021-12-15,25.63
2021-12-16,23.92
2021-12-17,23.69
2021-12-18,23.2
2021-12-19,21.26
2021-12-20,23.2
2021-12-21,23.42
2021-12-22,26.62
2021-12-23,27.69
2021-12-24,27.16
2021-12-25,26.39
2021-12-26,27.66
2021-12-27,26.02
2021-12-28,24.86
2021-12-29,25.42
2021-12-30,25.7
2021-12-31,25.15
2022-01-01,27.49
2022-01-02,28.52
2022-01-03,34.12
2022-01-04,34.99
2022-01-05,30.31
2022-01-06,29.97
2022-01-07,31.7
2022-01-08,34.0
2022-01-09,34.21
2022-01-10,34.05
2022-01-11,34.98
2022-01-12,32.71
2022-01-13,32.53
2022-01-14,33.75
2022-01-15,31.36
2022-01-16,29.27
2022-01-17,28.77
2022-01-18,27.67
2022-01-19,28.42
2022-01-20,24.48
2022-01-21,19.75
2022-01-22,20.86
2022-01-23,20.34
2022-01-24,20.54
2022-01-25,21.01
2022-01-26,19.61
2022-01-27,19.76
2022-01-28,20.73
2022-01-29,19.86
2022-01-30,19.69
2022-01-31,20.0
2022-02-01,21.29
2022-02-02,20.65
2022-02-03,21.3
2022-02-04,22.92
2022-02-05,22.8
2022-02-06,24.06
2022-02-07,22.6
2022-02-08,23.05
2022-02-09,22.55
2022-02-10,21.66
2022-02-11,19.96
2022-02-12,20.21
2022-02-13,20.61
2022-02-14,21.32
2022-02-15,20.94
2022-02-16,21.0
2022-02-17,19.44
2022-02-18,19.95
2022-02-19,18.76
2022-02-20,18.87
2022-02-21,17.86
2022-02-22,18.01
2022-02-23,15.87
2022-02-24,17.34
2022-02-25,18.0
2022-02-26,18.52
2022-02-27,18.79
2022-02-28,19.49
2022-03-01,19.12
2022-03-02,19.65
2022-03-03,18.53
2022-03-04,17.41
2022-03-05,17.11
2022-03-06,17.18
2022-03-07,16.75
2022-03-08,17.67
2022-03-09,16.48
2022-03-10,16.44
2022-03-11,16.43
2022-03-12,16.23
2022-03-13,15.92
2022-03-14,15.84
2022-03-15,16.11
2022-03-16,16.82
2022-03-17,16.69
2022-03-18,17.54
2022-03-19,16.9
2022-03-20,16.97
2022-03-21,18.01
2022-03-22,19.11
2022-03-23,19.36
2022-03-24,19.07
2022-03-25,19.46
2022-03-26,20.63
2022-03-27,21.89
2022-03-28,22.18
2022-03-29,21.92
2022-03-30,21.09
2022-03-31,21.47
2022-04-01,21.46
2022-04-02,21.72
2022-04-03,21.48
2022-04-04,21.78
2022-04-05,19.6
2022-04-06,18.92
2022-04-07,18.88
2022-04-08,17.88
2022-04-09,18.03
2022-04-10,16.41
2022-04-11,16.65
2022-04-12,16.95
2022-04-13,16.34
2022-04-14,16.7
2022-04-15,16.58
2022-04-16,17.75
2022-04-17,16.43
2022-04-18,17.44
2022-04-19,17.1
2022-04-20,17.36
2022-04-21,16.41
2022-04-22,16.75
2022-04-23,16.32
2022-04-24,15.63
2022-04-25,15.3
2022-04-26,15.3
2022-04-27,15.07
2022-04-28,14.49
2022-04-29,13.79
2022-04-30,13.26
2022-05-01,12.8
2022-05-02,13.13
2022-05-03,13.27
2022-05-04,12.6
2022-05-05,12.47
2022-05-06,12.39
2022-05-07,11.93
2022-05-08,11.05
2022-05-09,11.11
2022-05-10,8.28
2022-05-11,7.22
2022-05-12,9.18
2022-05-13,7.82
2022-05-14,8.43
2022-05-15,8.3
2022-05-16,8.34
2022-05-17,7.67
2022-05-18,8.19
2022-05-19,7.67
2022-05-20,8.16
2022-05-21,8.1
2022-05-22,8.78
2022-05-23,7.72
2022-05-24,7.74
2022-05-25,7.47
2022-05-26,7.22
2022-05-27,7.16
2022-05-28,7.27
2022-05-29,7.68
2022-05-30,8.27
2022-05-31,7.99
2022-06-01,8.29
2022-06-02,8.16
2022-06-03,7.68
2022-06-04,7.48
2022-06-05,7.66
2022-06-06,6.97
2022-06-07,6.76
2022-06-08,6.61
2022-06-09,6.29
2022-06-10,5.67
2022-06-11,6.21
2022-06-12,5.73
2022-06-13,5.89
2022-06-14,5.3
2022-06-15,5.48
2022-06-16,5.45
2022-06-17,5.08
2022-06-18,5.36
2022-06-19,5.79
2022-06-20,6.14
2022-06-21,5.56
2022-06-22,5.66
2022-06-23,5.98
2022-06-24,5.98
2022-06-25,6.09
2022-06-26,5.81
2022-06-27,5.6
2022-06-28,5.42
2022-06-29,5.17
2022-06-30,5.22
2022-07-01,5.29
2022-07-02,5.17
2022-07-03,5.51
2022-07-04,5.36
2022-07-05,5.49
2022-07-06,6.16
2022-07-07,6.22
2022-07-08,6.93
2022-07-09,6.37
2022-07-10,6.65
2022-07-11,6.54
2022-07-12,6.15
2022-07-13,6.62
2022-07-14,6.79
2022-07-15,7.34
2022-07-16,7.02
2022-07-17,7.65
2022-07-18,7.36
2022-07-19,7.48
2022-07-20,6.73
2022-07-21,6.75
2022-07-22,6.42
2022-07-23,6.68
2022-07-24,6.24
2022-07-25,6.22
2022-07-26,6.63
2022-07-27,7.24
2022-07-28,7.18
2022-07-29,8.42
2022-07-30,8.95
2022-07-31,8.35
2022-08-01,7.93
2022-08-02,8.15
2022-08-03,8.07
2022-08-04,8.0
2022-08-05,8.36
2022-08-06,8.16
2022-08-07,8.39
2022-08-08,7.77
2022-08-09,8.27
2022-08-10,8.34
2022-08-11,8.22
2022-08-12,8.26
2022-08-13,8.14
2022-08-14,7.87
2022-08-15,7.86
2022-08-16,7.41
2022-08-17,7.41
2022-08-18,6.48
2022-08-19,6.41
2022-08-20,6.41
2022-08-21,6.27
2022-08-22,6.4
2022-08-23,6.62
2022-08-24,6.32
2022-08-25,6.0
2022-08-26,6.1
2022-08-27,6.44
2022-08-28,6.49
2022-08-29,6.26
2022-08-30,6.35
2022-08-31,6.14
2022-09-01,6.4
2022-09-02,6.5
2022-09-03,6.39
2022-09-04,6.62
2022-09-05,6.73
2022-09-06,6.34
2022-09-07,6.51
2022-09-08,6.99
2022-09-09,7.03
2022-09-10,7.25
2022-09-11,7.01
2022-09-12,6.65
2022-09-13,6.46
2022-09-14,6.11
2022-09-15,6.18
2022-09-16,6.33
2022-09-17,6.08
2022-09-18,6.07
2022-09-19,6.05
2022-09-20,5.9
2022-09-21,5.99
2022-09-22,6.07
2022-09-23,6.13
2022-09-24,5.94
2022-09-25,6.14
2022-09-26,6.26
2022-09-27,6.05
2022-09-28,6.04
2022-09-29,6.15
2022-09-30,6.08
2022-10-01,5.96
2022-10-02,6.03
2022-10-03,6.12
2022-10-04,5.97
2022-10-05,6.02
2022-10-06,5.95
2022-10-07,5.89
2022-10-08,5.88
2022-10-09,5.65
2022-10-10,5.35
2022-10-11,5.2
2022-10-12,4.98
2022-10-13,4.99
2022-10-14,4.99
2022-10-15,4.99
2022-10-16,5.07
2022-10-17,4.94
