date,close
2021-03-28,5.7307
2021-03-29,6.4359
2021-03-30,6.2332
2021-03-31,6.119
2021-04-01,5.997
2021-04-02,5.9954
2021-04-03,5.9215
2021-04-04,6.2421
2021-04-05,6.9899
2021-04-06,6.078
2021-04-07,6.4123
2021-04-08,6.5363
2021-04-09,6.5587
2021-04-10,7.0186
2021-04-11,6.7317
2021-04-12,6.5742
2021-04-13,6.3198
2021-04-14,6.5554
2021-04-15,6.1066
2021-04-16,5.8293
2021-04-17,5.1345
2021-04-18,4.6268
2021-04-19,4.9955
2021-04-20,5.0191
2021-04-21,5.375
2021-04-22,4.4441
2021-04-23,4.3266
2021-04-24,4.7575
2021-04-25,5.0688
2021-04-26,5.1481
2021-04-27,4.9671
2021-04-28,5.1021
2021-04-29,5.4049
2021-04-30,5.3487
2021-05-01,5.3368
2021-05-02,5.4712
2021-05-03,4.858
2021-05-04,5.1105
2021-05-05,5.531
2021-05-06,5.4842
2021-05-07,5.1643
2021-05-08,5.1933
2021-05-09,5.0584
2021-05-10,4.8312
2021-05-11,5.515
2021-05-12,5.0992
2021-05-13,5.7573
2021-05-14,6.5511
2021-05-15,6.0297
2021-05-16,5.4273
2021-05-17,5.5767
2021-05-18,4.1604
2021-05-19,4.1095
2021-05-20,3.4343
2021-05-21,3.3854
2021-05-22,2.4656
2021-05-23,3.0433
2021-05-24,3.1235
2021-05-25,3.4092
2021-05-26,3.3956
2021-05-27,3.0767
2021-05-28,2.6229
2021-05-29,3.1227
2021-05-30,3.3076
2021-05-31,3.088
2021-06-01,3.3887
2021-06-02,3.4124
2021-06-03,3.1859
2021-06-04,3.1858
2021-06-05,3.1834
2021-06-06,3.1931
2021-06-07,2.7649
2021-06-08,3.1702
2021-06-09,3.0776
2021-06-10,3.0759
2021-06-11,2.8939
2021-06-12,2.898
2021-06-13,3.3227
2021-06-14,3.1992
2021-06-15,3.0216
2021-06-16,3.127
2021-06-17,3.0813
2021-06-18,2.9407
2021-06-19,2.7658
2021-06-20,2.5027
2021-06-21,2.1672
2021-06-22,2.2538
2021-06-23,2.172
2021-06-24,2.0134
2021-06-25,1.84
2021-06-26,1.8614
2021-06-27,2.0536
2021-06-28,2.1325
2021-06-29,1.9368
2021-06-30,2.1021
2021-07-01,2.0304
2021-07-02,2.2358
2021-07-03,2.2862
2021-07-04,2.1441
2021-07-05,2.2471
2021-07-06,2.3238
2021-07-07,2.1626
2021-07-08,2.0962
2021-07-09,2.0887
2021-07-10,2.1982
2021-07-11,2.1271
2021-07-12,2.0225
2021-07-13,1.9982
2021-07-14,1.9108
2021-07-15,1.9426
2021-07-16,1.9475
2021-07-17,1.8709
2021-07-18,1.7566
2021-07-19,1.7155
2021-07-20,1.8059
2021-07-21,1.8554
2021-07-22,1.8673
2021-07-23,2.0787
2021-07-24,2.0838
2021-07-25,2.2959
2021-07-26,2.2259
2021-07-27,2.1825
2021-07-28,2.2402
2021-07-29,2.2102
2021-07-30,2.4131
2021-07-31,2.4701
2021-08-01,2.4096
2021-08-02,2.3256
2021-08-03,2.4394
2021-08-04,2.4412
2021-08-05,2.5148
2021-08-06,2.6842
2021-08-07,2.6009
2021-08-08,2.7323
2021-08-09,2.8014
2021-08-10,2.9399
2021-08-11,3.1062
2021-08-12,3.3234
2021-08-13,3.2643
2021-08-14,3.1491
2021-08-15,3.4316
2021-08-16,3.7726
2021-08-17,4.3791
2021-08-18,4.3135
2021-08-19,4.4847
2021-08-20,5.3144
2021-08-21,5.5567
2021-08-22,5.4167
2021-08-23,5.0521
2021-08-24,5.5387
2021-08-25,4.9997
2021-08-26,5.0936
2021-08-27,5.5834
2021-08-28,5.6702
2021-08-29,5.6416
2021-08-30,5.3484
2021-08-31,5.4235
2021-09-01,5.4556
2021-09-02,6.5947
2021-09-03,6.2274
2021-09-04,5.9784
2021-09-05,6.0028
2021-09-06,6.079
2021-09-07,9.9056
2021-09-08,10.4306
2021-09-09,9.1226
2021-09-10,9.2168
2021-09-11,9.5406
2021-09-12,8.1053
2021-09-13,9.1315
2021-09-14,9.0445
2021-09-15,8.8586
2021-09-16,8.3935
2021-09-17,8.9012
2021-09-18,9.8794
2021-09-19,8.0194
2021-09-20,7.5115
2021-09-21,7.4
2021-09-22,8.4245
2021-09-23,7.7575
2021-09-24,7.6795
2021-09-25,7.5642
2021-09-26,7.194
2021-09-27,6.6915
2021-09-28,6.6256
2021-09-29,6.6846
2021-09-30,7.6926
2021-10-01,8.1806
2021-10-02,8.0365
2021-10-03,7.6623
2021-10-04,7.6798
2021-10-05,7.7541
2021-10-06,8.343
2021-10-07,8.2299
2021-10-08,8.1135
2021-10-09,7.7407
2021-10-10,7.4849
2021-10-11,7.1196
2021-10-12,7.0815
2021-10-13,7.8104
2021-10-14,7.9028
2021-10-15,7.8236
2021-10-16,7.8019
2021-10-17,7.7764
2021-10-18,8.1949
2021-10-19,8.53
2021-10-20,9.2757
2021-10-21,8.9339
2021-10-22,9.13
2021-10-23,9.289
2021-10-24,11.9903
2021-10-25,12.5445
2021-10-26,11.1523
2021-10-27,11.6687
2021-10-28,11.4099
2021-10-29,10.7017
2021-10-30,9.7817
2021-10-31,10.3216
2021-11-01,10.778
2021-11-02,10.7646
2021-11-03,10.4226
2021-11-04,10.5315
2021-11-05,10.0442
2021-11-06,10.1722
2021-11-07,10.4684
2021-11-08,11.0947
2021-11-09,11.4395
2021-11-10,12.264
2021-11-11,11.2126
2021-11-12,11.1713
2021-11-13,11.5835
2021-11-14,11.4133
2021-11-15,9.8874
2021-11-16,9.442
2021-11-17,8.8114
2021-11-18,9.3994
2021-11-19,9.3165
2021-11-20,9.6788
2021-11-21,9.2711
2021-11-22,9.4979
2021-11-23,9.3139
2021-11-24,9.377
2021-11-25,8.2945
2021-11-26,8.3842
2021-11-27,8.0935
2021-11-28,8.2951
2021-11-29,8.629
2021-11-30,8.7085
2021-12-01,8.1677
2021-12-02,9.0213
2021-12-03,7.7189
2021-12-04,7.3816
2021-12-05,7.0581
2021-12-06,7.4435
2021-12-07,8.4158
2021-12-08,9.2559
2021-12-09,9.2751
2021-12-10,11.2094
2021-12-11,10.6502
2021-12-12,9.3551
2021-12-13,9.1026
2021-12-14,9.681
2021-12-15,9.8499
2021-12-16,8.5702
2021-12-17,8.3921
2021-12-18,9.4985
2021-12-19,8.366
2021-12-20,8.656
2021-12-21,11.3708
2021-12-22,13.5201
2021-12-23,15.3925
2021-12-24,14.6481
2021-12-25,15.2887
2021-12-26,15.3572
2021-12-27,13.9485
2021-12-28,14.6873
2021-12-29,14.9249
2021-12-30,15.3527
2021-12-31,14.602
2022-01-01,14.4196
2022-01-02,15.0
2022-01-03,17.1938
2022-01-04,16.7848
2022-01-05,15.4743
2022-01-06,14.8913
2022-01-07,14.4115
2022-01-08,13.2975
2022-01-09,14.7503
2022-01-10,16.2695
2022-01-11,17.7006
2022-01-12,19.5653
2022-01-13,20.0147
2022-01-14,19.7866
2022-01-15,20.0859
2022-01-16,18.7337
2022-01-17,17.006
2022-01-18,17.1969
2022-01-19,17.2583
2022-01-20,14.4584
2022-01-21,11.0723
2022-01-22,11.2672
2022-01-23,10.3004
2022-01-24,11.1721
2022-01-25,12.1063
2022-01-26,11.2959
2022-01-27,10.5006
2022-01-28,11.0262
2022-01-29,10.8558
2022-01-30,10.8112
2022-01-31,11.1559
2022-02-01,11.4095
2022-02-02,10.9157
2022-02-03,11.6959
2022-02-04,13.3922
2022-02-05,13.181
2022-02-06,13.9587
2022-02-07,12.4143
2022-02-08,12.9107
2022-02-09,12.3827
2022-02-10,11.9164
2022-02-11,10.7642
2022-02-12,10.6829
2022-02-13,10.4709
2022-02-14,11.156
2022-02-15,10.9486
2022-02-16,11.1291
2022-02-17,10.2127
2022-02-18,10.1095
2022-02-19,9.3215
2022-02-20,9.3692
2022-02-21,8.7824
2022-02-22,9.0846
2022-02-23,8.0506
2022-02-24,8.7662
2022-02-25,9.2215
2022-02-26,8.9548
2022-02-27,9.0789
2022-02-28,11.211
2022-03-01,10.9796
2022-03-02,11.0034
2022-03-03,11.149
2022-03-04,10.4199
2022-03-05,10.469
2022-03-06,10.1608
2022-03-07,9.7502
2022-03-08,11.3117
2022-03-09,10.9346
2022-03-10,10.7288
2022-03-11,10.4356
2022-03-12,10.2855
2022-03-13,9.9693
2022-03-14,10.1674
2022-03-15,10.27
2022-03-16,10.9191
2022-03-17,10.7767
2022-03-18,11.3889
2022-03-19,10.7557
2022-03-20,11.106
2022-03-21,11.2705
2022-03-22,11.8238
2022-03-23,12.3797
2022-03-24,12.2275
2022-03-25,13.033
2022-03-26,12.8655
2022-03-27,13.1808
2022-03-28,13.5899
2022-03-29,14.2694
2022-03-30,13.6261
2022-03-31,13.8835
2022-04-01,15.4955
2022-04-02,16.3501
2022-04-03,15.5339
2022-04-04,16.641
2022-04-05,15.9983
2022-04-06,14.9564
2022-04-07,18.7153
2022-04-08,16.2721
2022-04-09,16.3362
2022-04-10,15.4198
2022-04-11,16.4037
2022-04-12,16.4363
2022-04-13,16.41
2022-04-14,15.9695
2022-04-15,15.7081
2022-04-16,16.5367
2022-04-17,15.3908
2022-04-18,17.2353
2022-04-19,16.6921
2022-04-20,16.9294
2022-04-21,15.1662
2022-04-22,15.781
2022-04-23,15.1922
2022-04-24,13.8296
2022-04-25,13.6258
2022-04-26,12.8151
2022-04-27,12.4438
2022-04-28,11.8834
2022-04-29,11.2117
2022-04-30,11.6714
2022-05-01,11.6131
2022-05-02,11.857
2022-05-03,12.0642
2022-05-04,11.2247
2022-05-05,10.7481
2022-05-06,10.7101
2022-05-07,10.443
2022-05-08,10.8941
2022-05-09,10.0952
2022-05-10,7.4697
2022-05-11,6.62
2022-05-12,7.1527
2022-05-13,6.0881
2022-05-14,6.6695
2022-05-15,6.5721
2022-05-16,6.6725
2022-05-17,5.981
2022-05-18,6.1845
2022-05-19,5.7014
2022-05-20,6.0051
2022-05-21,6.1362
2022-05-22,6.3524
